feature_id,Aboriginal English,Acrolectal Fiji English,Appalachian English,Australian English,Australian Vernacular English,Bahamian English,Black South African English,Cameroon English,Cape Flats English,Channel Islands English,Chicano English,Colloquial American English,Colloquial Singapore English (Singlish),Earlier African American Vernacular English,East Anglian English,English dialects in the North of England,English dialects in the Southeast of England,English dialects in the Southwest of England,Falkland Islands English,Ghanaian English,Hong Kong English,Indian English,Indian South African English,Irish English,Jamaican English,Kenyan English,Liberian Settler English,Malaysian English,Maltese English,Manx English,New Zealand English,Newfoundland English,Nigerian English,Orkney and Shetland English,Ozark English,Pakistani English,Philippine English,Pure Fiji English (basilectal FijiE),Rural African American Vernacular English,Scottish English,Southeast American enclave dialects,Sri Lankan English,St. Helena English,Tanzanian English,Tristan da Cunha English,Ugandan English,Urban African American Vernacular English,Welsh English,White South African English,White Zimbabwean English
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,0.0,0.0,0.005,0.1,0.1,0.005,0.0,0.005,0.005,0.0,0.005,0.0,0.0,0.005,0.005,0.0,0.005,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.005,0.0,0.0,0.005,0.005,0.1,0.5,0.0,0.1,0.1,0.0,0.005,0.1,0.005,0.1,0.1,0.0,0.005,0.0,0.1,0.0,0.005,0.1,0.005,0.0
2,0.1,0.0,0.0,0.0,0.1,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.005,0.0,0.0,0.1,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
3,0.5,0.0,0.0,0.1,0.1,0.1,0.005,0.1,0.005,0.0,0.0,0.0,0.1,0.005,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.5,0.0,0.0,0.1,0.5,0.005,0.1,0.1,0.0,0.0,0.0,0.5,0.005,0.1,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
4,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.1,0.0,0.005,0.0,0.005,0.0,0.0,0.0
5,0.5,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0
6,0.5,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5,0.0,0.5,0.1,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.1,0.1,0.005,0.5,0.005,0.5,0.1,0.1,0.5,0.1,0.5,0.1,0.1,0.5,0.5,0.5,0.1,0.5,0.1,0.1,0.5,0.5,0.5,0.5,0.1,0.5,0.1,0.1,0.1,0.5,0.5,0.1,0.1
8,0.0,0.0,0.005,0.005,0.005,0.1,0.1,0.5,0.1,0.1,0.0,0.1,0.0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.1,0.005,0.1,0.5,0.0,0.5,0.1,0.5,0.1,0.1,0.5,0.5,0.5,0.1,0.005,0.005,0.005,0.5,0.1,0.1,0.005,0.0,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.1
9,0.0,0.0,0.5,0.005,0.005,0.1,0.005,0.5,0.5,0.0,0.1,0.1,0.0,0.5,0.0,0.005,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.005,0.005,0.0,0.0,0.5,0.0,0.0,0.1,0.1,0.0,0.5,0.0,0.5,0.0,0.005,0.0,0.1,0.0,0.005,0.005
10,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.5,0.005,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0
11,0.5,0.0,0.1,0.0,0.005,0.1,0.005,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.5,0.5,0.1,0.1,0.005,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.005,0.0,0.1,0.005,0.0,0.1,0.0,0.0,0.0,0.5,0.1,0.5,0.0,0.1,0.0,0.1,0.0,0.5,0.005,0.0,0.0
12,0.1,0.0,0.0,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.5,0.005,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.1,0.0,0.005,0.0,0.0,0.1,0.0,0.0
13,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.005,0.0,0.1,0.0,0.1,0.0,0.1,0.005,0.0,0.005
14,0.5,0.0,0.005,0.1,0.0,0.1,0.1,0.005,0.1,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.1,0.1,0.005,0.0,0.5,0.1,0.5,0.005,0.0,0.0,0.1,0.5,0.0,0.005,0.1,0.0,0.005,0.0,0.005,0.005,0.005,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.1,0.005,0.1,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.5,0.0,0.005,0.0,0.0,0.0,0.5,0.005,0.1,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0
16,0.0,0.0,0.005,0.0,0.0,0.1,0.005,0.1,0.005,0.0,0.005,0.0,0.1,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.1,0.0,0.0,0.1,0.5,0.0,0.005,0.0,0.005,0.005,0.0,0.1,0.1,0.0,0.0,0.005,0.0,0.005,0.0,0.5,0.005,0.1,0.005,0.005,0.0,0.005,0.005
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0
21,0.1,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.005,0.0,0.5,0.0,0.5,0.0,0.005,0.005,0.0,0.005
22,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.005,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.005,0.0,0.5,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.1,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.005,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0
25,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0
26,0.5,0.0,0.0,0.1,0.5,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.5,0.5,0.5,0.5,0.005,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.1,0.0,0.005,0.0,0.0,0.5,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0
28,0.5,0.0,0.5,0.1,0.5,0.5,0.1,0.0,0.005,0.1,0.0,0.1,0.0,0.1,0.5,0.1,0.5,0.1,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.5,0.5,0.5,0.0,0.0,0.1,0.0,0.005,0.5,0.1,0.1,0.5,0.1,0.5,0.0,0.1,0.0,0.1,0.5,0.1,0.1
29,0.5,0.0,0.005,0.1,0.1,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.1,0.005,0.0,0.5,0.1,0.1
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.005,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.1,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.5,0.0,0.0,0.005,0.0,0.0
34,0.5,0.0,0.5,0.1,0.5,0.1,0.1,0.5,0.5,0.1,0.1,0.5,0.1,0.1,0.1,0.5,0.0,0.005,0.005,0.1,0.0,0.1,0.5,0.5,0.005,0.1,0.5,0.5,0.005,0.005,0.5,0.1,0.1,0.0,0.1,0.1,0.1,0.5,0.5,0.1,0.5,0.1,0.1,0.0,0.5,0.0,0.5,0.005,0.5,0.1
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.5,0.005,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
36,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.5,0.0,0.0,0.0,0.0,0.005,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.005,0.0,0.005,0.0,0.005,0.0,0.005,0.0,0.0,0.1
39,0.0,0.0,0.5,0.0,0.1,0.1,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.005,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.5,0.1,0.0,0.0,0.1,0.1,0.005,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.5,0.1
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.1,0.0,0.0,0.0,0.005,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.5,0.1,0.5,0.0,0.0,0.005,0.005,0.5,0.0,0.005,0.0,0.0,0.005,0.0,0.1,0.005,0.1,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0
42,0.1,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.5,0.5,0.005,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0
43,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.005,0.005,0.005,0.0,0.5,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.1,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.005,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.005,0.005,0.0,0.1,0.0
44,0.1,0.0,0.0,0.0,0.1,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.005,0.005,0.0,0.0,0.005,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,0.005,0.1,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0
45,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.5,0.5,0.005,0.1,0.0,0.1,0.005,0.5,0.1,0.0,0.0,0.1,0.005,0.0,0.0,0.1,0.5,0.1,0.005,0.1,0.1,0.005,0.005,0.5,0.0,0.1,0.005,0.0,0.1,0.5
46,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.005,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005,0.1,0.005,0.0,0.005,0.0,0.5,0.005,0.005,0.005,0.005,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.005,0.0,0.1,0.005,0.005,0.005,0.0,0.0,0.0,0.0
48,0.5,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.005,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.005,0.1,0.005,0.5,0.005,0.005,0.0,0.0,0.1,0.0,0.1,0.0,0.005,0.1,0.5,0.0,0.5,0.0,0.0,0.1,0.0,0.005,0.5,0.005,0.005,0.0
49,0.5,0.1,0.0,0.0,0.0,0.005,0.1,0.1,0.0,0.0,0.0,0.005,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.5,0.5,0.5,0.0,0.0,0.005,0.1,0.0,0.1,0.0,0.5,0.1,0.1,0.0,0.0,0.0,0.005,0.5,0.1,0.5,0.5,0.0,0.1,0.1,0.1,0.0,0.5,0.1,0.005,0.0
50,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
